Name,Class,Role,Tier,Score,Trend,Win,Role.1,Pick,Ban,KDA,Lost
Senna,Marksman,SUPPORT,S,62.66,1.54,0.0,91.84%,6.86%,2.56%,2.51,100.0
Seraphine,Mage,SUPPORT,A,52.34,0.66,0.0,66.64%,4.81%,1.33%,2.45,100.0
Seraphine,Mage,ADC,A,49.21,9.81,0.0,22.28%,1.28%,1.33%,3.0,100.0
Seraphine,Mage,MID,B,46.72,1.94,0.0,10.71%,0.75%,1.33%,2.93,100.0
Sett,Fighter,TOP,S,65.36,0.03,0.0,82.55%,6.05%,3.17%,1.69,100.0
Shaco,Assassin,JUNGLE,S,58.88,-1.71,0.0,74.03%,5.60%,16.77%,2.7,100.0
Shaco,Assassin,SUPPORT,C,36.03,-2.37,0.0,18.41%,1.43%,16.77%,2.29,100.0
Shen,Tank,TOP,S,57.59,1.12,0.0,82.25%,2.91%,0.46%,2.95,100.0
Shen,Tank,SUPPORT,D,30.62,-3.85,0.0,10.97%,0.38%,0.46%,2.52,100.0
Shyvana,Fighter,JUNGLE,D,31.35,-1.37,0.0,81.87%,1.34%,0.34%,2.44,100.0
Shyvana,Fighter,TOP,D,28.01,1.2,0.0,11.87%,0.21%,0.40%,1.88,100.0
Singed,Tank,MID,A,48.88,0.0,0.0,10.14%,0.22%,0.41%,2.79,100.0
Singed,Tank,TOP,B,40.16,0.15,0.0,77.44%,1.56%,0.43%,1.97,100.0
Sion,Tank,TOP,S,57.0,-5.09,0.0,78.90%,4.99%,2.62%,1.62,100.0
Sion,Tank,MID,C,35.89,-2.49,0.0,10.70%,0.66%,2.62%,1.32,100.0
Sivir,Marksman,ADC,B,42.9,6.74,0.0,97.18%,3.20%,0.65%,2.37,100.0
Skarner,Fighter,JUNGLE,C,38.1,2.14,0.0,78.56%,0.86%,0.20%,2.72,100.0
Skarner,Fighter,TOP,D,30.61,2.28,0.0,16.44%,0.14%,0.18%,2.21,100.0
Sona,Support,SUPPORT,A,53.15,1.33,0.0,97.95%,3.36%,0.19%,2.85,100.0
Soraka,Support,SUPPORT,S,60.35,1.97,0.0,96.76%,5.62%,1.61%,2.77,100.0
Swain,Mage,ADC,A,50.89,0.0,0.0,11.54%,0.51%,2.91%,2.98,100.0
Swain,Mage,MID,A,49.53,2.35,0.0,24.19%,1.29%,2.91%,2.72,100.0
Swain,Mage,SUPPORT,A,49.45,2.38,0.0,57.41%,3.69%,2.91%,2.34,100.0
Sylas,Mage,MID,A,55.65,0.17,0.0,57.23%,5.79%,8.24%,2.13,100.0
Sylas,Mage,JUNGLE,C,39.44,-0.52,0.0,30.22%,3.05%,8.24%,2.4,100.0
Syndra,Mage,MID,A,56.32,2.63,0.0,92.20%,5.32%,2.87%,2.29,100.0
Tahm Kench,Support,TOP,C,38.72,-1.8,0.0,62.72%,1.84%,0.89%,2.32,100.0
Tahm Kench,Support,SUPPORT,C,34.87,-5.55,0.0,27.70%,0.74%,0.96%,2.25,100.0
Taliyah,Mage,MID,B,44.88,2.15,0.0,62.89%,1.24%,0.34%,2.32,100.0
Taliyah,Mage,JUNGLE,D,33.28,2.33,0.0,23.12%,0.45%,0.34%,2.75,100.0
Talon,Assassin,MID,A,52.37,0.53,0.0,71.73%,3.76%,2.44%,2.29,100.0
Talon,Assassin,JUNGLE,D,33.38,-1.72,0.0,24.97%,1.39%,2.44%,2.51,100.0
Taric,Support,SUPPORT,A,47.44,-1.88,0.0,91.80%,1.96%,0.42%,2.78,100.0
Teemo,Marksman,TOP,S,58.84,-1.71,0.0,70.59%,4.37%,7.02%,1.72,100.0
Teemo,Marksman,SUPPORT,D,30.82,-4.14,0.0,10.89%,0.72%,7.69%,1.73,100.0
Thresh,Support,SUPPORT,God,91.09,6.4,0.0,95.92%,13.79%,5.98%,2.58,100.0
Tristana,Marksman,MID,B,47.21,4.01,0.0,31.64%,2.91%,3.62%,1.99,100.0
Tristana,Marksman,ADC,B,44.29,3.9,0.0,63.87%,6.15%,3.62%,2.2,100.0
Trundle,Fighter,JUNGLE,C,39.07,0.94,0.0,63.74%,1.84%,0.99%,2.6,100.0
Trundle,Fighter,TOP,C,35.29,-1.63,0.0,31.04%,0.80%,0.99%,1.58,100.0
Tryndamere,Fighter,MID,B,41.47,1.77,0.0,11.30%,0.32%,2.05%,2.07,100.0
Tryndamere,Fighter,TOP,B,40.25,-0.88,0.0,79.39%,2.21%,2.05%,1.75,100.0
Twisted Fate,Mage,MID,B,43.98,-0.59,0.0,89.24%,3.00%,0.27%,2.17,100.0
Twitch,Marksman,ADC,B,46.23,3.18,0.0,76.30%,4.53%,4.54%,2.37,100.0
Twitch,Marksman,SUPPORT,D,33.25,0.76,0.0,12.59%,0.77%,4.54%,2.08,100.0
Udyr,Fighter,JUNGLE,C,39.12,0.8,0.0,80.64%,2.45%,2.10%,2.5,100.0
Udyr,Fighter,TOP,D,32.19,2.43,0.0,16.87%,0.52%,2.10%,1.7,100.0
Urgot,Fighter,TOP,B,46.28,0.42,0.0,90.93%,2.41%,1.00%,1.94,100.0
Varus,Marksman,ADC,B,45.2,-1.82,0.0,76.66%,6.08%,2.39%,2.21,100.0
Varus,Marksman,TOP,D,28.59,-14.81,0.0,13.88%,1.11%,2.39%,1.71,100.0
Vayne,Marksman,ADC,B,44.25,3.85,0.0,81.02%,6.32%,4.53%,2.02,100.0
Vayne,Marksman,TOP,C,35.52,4.94,0.0,15.47%,1.21%,4.53%,1.55,100.0
Veigar,Mage,MID,A,54.59,-3.66,0.0,73.42%,4.86%,3.97%,2.17,100.0
Veigar,Mage,ADC,C,39.26,7.06,0.0,13.32%,0.82%,3.97%,2.22,100.0
Veigar,Mage,SUPPORT,D,28.09,0.0,0.0,10.67%,0.70%,4.32%,1.8,100.0
Vel'Koz,Mage,MID,B,44.1,2.21,0.0,29.58%,0.70%,0.41%,2.6,100.0
Vel'Koz,Mage,SUPPORT,B,41.32,1.55,0.0,65.61%,1.66%,0.41%,2.14,100.0
Vex,Mage,MID,A,50.2,-2.15,0.0,93.02%,3.28%,3.76%,2.37,100.0
Vi,Fighter,JUNGLE,B,42.18,-13.38,0.0,94.59%,4.05%,1.94%,2.3,100.0
Viego,Assassin,JUNGLE,S,70.33,5.05,0.0,95.17%,9.12%,2.56%,2.47,100.0
Viktor,Mage,MID,A,54.13,2.05,0.0,94.35%,4.28%,2.41%,2.27,100.0
Vladimir,Mage,MID,A,54.65,3.61,0.0,77.73%,3.96%,5.95%,2.42,100.0
Vladimir,Mage,TOP,C,34.53,-0.44,0.0,20.15%,0.99%,5.95%,2.05,100.0
Volibear,Fighter,TOP,C,36.96,-0.57,0.0,61.85%,2.17%,0.63%,1.64,100.0
Volibear,Fighter,JUNGLE,D,33.68,-1.42,0.0,32.98%,1.02%,0.63%,2.64,100.0
Warwick,Fighter,JUNGLE,A,49.91,-3.99,0.0,68.71%,4.74%,5.18%,2.17,100.0
Warwick,Fighter,TOP,C,36.27,-3.06,0.0,28.10%,1.42%,5.18%,1.79,100.0
Wukong,Fighter,JUNGLE,C,38.79,-4.57,0.0,75.46%,2.62%,1.25%,2.64,100.0
Wukong,Fighter,TOP,D,33.59,0.72,0.0,18.56%,0.58%,1.25%,2.06,100.0
Xayah,Marksman,ADC,A,52.38,1.57,0.0,98.94%,9.73%,3.88%,2.3,100.0
Xerath,Mage,SUPPORT,A,53.03,0.58,0.0,70.80%,4.09%,4.04%,2.48,100.0
